conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.61E+18,Tue Dec 20 10:04:02 +0000 2022,0,@polrestamakota @DalemSatrio @infomalang @yusufgunawan @ipoksamidub @Senaputra_FM @KabarMalangCom @RRIMalang Mantab pak. Semoga korban akan dimudahkan untuk keluar dari masalah ini tanpa biaya... Motornya akan kembali secepatnya supaya bisa dipakai kerja lagi...,1.61E+18,,polrestamakota,in,INDONESIA,0,0,0,https://x.com/Nazarchitect/status/1605141969126035456,28976370,Nazarchitect
1.63E+18,Sat Mar 04 14:19:38 +0000 2023,0,@polrestamakota @yusufgunawan Sangat membatu sekali Ndan tapi lebih bagus lagi lek satlantas kolaborasi ngatasi Kemacetan ndek kota seng lagi rame saiki .,1.63E+18,,polrestamakota,in,"Malang, Jawa Timur",0,0,0,https://x.com/RachmanuddinA/status/1632022994666020865,8.94E+17,RachmanuddinA
1.59E+18,Fri Nov 18 02:33:47 +0000 2022,2,Nuwus pak.. Titik rawan malam hari itu disaat gerimis juga. Yg pulang mlm itu bukan hnya mereka Yg berniat dolen namun pekerja wanita Yg kena shift sore pasti plg seputar jam itu..,1.59E+18,,polrestamakota,in,Tumpang Jawa Timur,0,0,0,https://x.com/AdeqDhea/status/1593432249382633472,2440810573,AdeqDhea
1.55E+18,Tue Aug 02 12:31:26 +0000 2022,0,@polrestamakota Kapan hari pas pulang malam kaget ada beberapa motor bleyer2 dgn knalpot brong pas lewat rampal. Pagi2 cek twitter ada berita semalam sejumlah motor dg knalpot brong diringkus di jl.Ijen. Instant Karma. Rutamnuwus ndan!,1.55E+18,,polrestamakota,in,"Malang, East Java, Indonesia",0,0,0,https://x.com/DeeOfGlory/status/1554444764526682112,96472471,DeeOfGlory
1.61E+18,Wed Jan 04 12:30:03 +0000 2023,0,Aksi Penyelundupan Narkoba di Lapas Lowokwaru Malang Digagalkan Petugas: Kejadian percobaan penyelundupan narkoba tersebut terjadi pada Selasa (3/1/2022) malam ... ... https://t.co/MGNoXkeESE #beritabaik #timesindonesia #ketahananinformasi,1.61E+18,,,in,Wisma Mas Isman Jakarta,0,0,0,https://x.com/timescoid/status/1610614535156637701,1.05E+18,timescoid
1.38E+18,Tue Apr 13 17:50:51 +0000 2021,0,BNN Merapat ke kabupaten Jatim Malang kecamatan tumpang dan sekitarnya untuk beroperasi narkoba Sabu Sabu. Bila ada oknum bandar narkoba kurir Melawan petugas. Petugas wadib melindungi diri dan wajib MELUPUHKAN bandar dan kurir tersebut. https://t.co/B4DZzr11ZV,1.38E+18,,,in,,0,0,0,https://x.com/EkoFirman20/status/1382028524874129411,1.34E+18,EkoFirman20
1.35E+18,Mon Jan 11 14:43:09 +0000 2021,0,Masyarakat kabupaten Malang Jatim kecamatan tumpang menunggu ketegasan BNN untuk beroperasi narkoba di desa kami. Masyarakat cerdas sehat tanpa narkoba. https://t.co/a6ylCvClfI,1.35E+18,https://pbs.twimg.com/media/ErdWXooVEAEF_pH.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1348641604492423171,1.34E+18,EkoFirman20
1.35E+18,Mon Jan 11 14:41:35 +0000 2021,1,Masyarakat kabupaten Malang Jatim kecamatan tumpang menunggu ketegasan BNN untuk beroperasi narkoba di desa kami. Masyarakat sehat tanpa narkoba. https://t.co/y11CXMU27l,1.35E+18,https://pbs.twimg.com/media/ErdV_l4VoAYwRhW.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1348641207891623938,1.34E+18,EkoFirman20
1.38E+18,Fri Apr 09 05:01:53 +0000 2021,0,Seluruh masyarakat Indonesia sangat berterima kasih atas kinerja kepolisian untuk mebrantas jaringan narkoba internasional. Untuk menyelamatkan negeri tercinta dari racun narkoba. @DivHumas_Polri / BNN Merapat ke Jatim kabupaten Malang kecamatan tumpang kedesa Brantas narkoba,1.38E+18,,,in,,0,0,0,https://x.com/EkoFirman20/status/1380385456580304897,1.34E+18,EkoFirman20
1.38E+18,Mon Apr 05 05:14:40 +0000 2021,0,Kejahatan predator narkoba/ bandar narkoba kurir harus di Brantas untuk wilayah kabupaten Malang Jatim kecamatan tumpang desa2. Banyak tuduhan tuduhan Tampa Bukti yang menyasar kemasyarakat yang tidak pernah ngelakuin kejahatan. Kejahatan predator narkoba harus segera Brantas https://t.co/gva7R44Wo9,1.38E+18,https://pbs.twimg.com/media/EyL5zTuVIAEQHl-.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1378939120324550658,1.34E+18,EkoFirman20
1.38E+18,Sun Apr 11 05:54:59 +0000 2021,0,Narkoba racun masyarakat Generasi penerus bangsa harus di selamat Dari kejahatan racun narkoba BRAVO BNN untuk beroperasi narkoba di wilayah kami kabupaten Malang Jatim kecamatan tumpang https://t.co/uSwZlkkED7,1.38E+18,https://pbs.twimg.com/media/Eyq8kuXU4AMA_bn.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1381123595137548293,1.34E+18,EkoFirman20
1.37E+18,Fri Mar 19 16:26:25 +0000 2021,0,Merapat ke kabupaten Malang Jatim kecamatan tumpang untuk beroperasi protitusi muncikari di wilayah kami. Dan operasi narkoba . Indonesia darurat narkoba. Mohon di perhatikan.,1.37E+18,,,in,,0,0,0,https://x.com/EkoFirman20/status/1372947579013459968,1.34E+18,EkoFirman20
1.37E+18,Wed Mar 10 16:32:03 +0000 2021,0,Narkoba pembunuh generasi penerus bangsa Masyarakat kabupaten Malang Jatim kecamatan tumpang menunggu BNN beroperasi narkoba di wilayah kami. KEJAHATAN narkoba harus di Brantas tuntas. https://t.co/B3K1vPXkaW,1.37E+18,https://pbs.twimg.com/media/EwIbgZhVEAMNe5h.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1369687503939072000,1.34E+18,EkoFirman20
1.37E+18,Wed Mar 10 01:22:14 +0000 2021,0,Merapat ke kabupaten Malang Jatim kecamatan tumpang untuk beroperasi narkoba kurir bandar narkoba ,1.37E+18,,,in,,0,0,0,https://x.com/EkoFirman20/status/1369458541950464002,1.34E+18,EkoFirman20
1.37E+18,Mon Mar 08 13:55:16 +0000 2021,0,BNN Merapat ke Malang Jatim kecamatan tumpang untuk menyisir pengedaran narkoba kurir dan bandar narkoba. Narkoba ini pembunuh generasi penerus bangsa. Narkoba harus di Brantas tutas tas tas tas. https://t.co/v1MCMBDb9c,1.37E+18,https://pbs.twimg.com/media/Ev9kcdhVoAQKsKh.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1368923275682717696,1.34E+18,EkoFirman20
1.37E+18,Mon Mar 08 13:37:02 +0000 2021,0,@Lakpesdam_PBNU @saidaqil dan masyarakat Jatim membutuhkan BNN untuk beroperasi narkoba di desa kami. Masyarakat kabupaten Malang Jatim kecamatan tumpang menunggu ketegasan BNN untuk beroperasi narkoba di desa kami . https://t.co/rA9FiGGbOP,1.37E+18,https://pbs.twimg.com/media/Ev9gRWuU8AEo94R.jpg,Lakpesdam_PBNU,in,,0,0,0,https://x.com/EkoFirman20/status/1368918687181238272,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 13:13:53 +0000 2021,0,Kami warga Jatim kecamatan tumpang minta bantuan ke tokoh tokoh agama @Lakpesdam_PBNU 212 @saidaqil untuk bersatu mebantu BNN untuk beroperasi narkoba di desa kami wilayah kami kabupaten Malang tumpang narkoba adalah kejahatan internasional mohon bantuannya gencar kan operasi https://t.co/4pDTSu9VBQ,1.37E+18,https://pbs.twimg.com/media/EvehazlUUAY23Jj.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1366738531167559680,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 12:53:42 +0000 2021,0,Melintir Nya kebla balasan. Kami masyarakat Malang Jatim kecamatan tumpang MEBUTUH KAN BANTUAN Tokoh tokoh agama 212 mas gowang @Lakpesdam_PBNU @saidaqil BNN menekan Brantas narkoba di wilayah kami kabupaten Malang Jatim kecamatan tumpang. Narkoba harus di Brantas. Maaf bang https://t.co/mAxBg1SUyX,1.37E+18,https://pbs.twimg.com/media/EvecygaVcAIUXUS.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1366733451211141121,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 12:39:01 +0000 2021,0,Ojok banter banter Nek Buat Kalimat. . Nanti banyak yang tahu . Kami masyarakat kabupaten Jatim warga nya Bu @KhofifahIP memohon bantuan ke tokoh agama @saidaqil @Lakpesdam_PBNU 212 mas gowang mebantu menekan BNN untuk beroperasi narkoba Sabu Sabu di wilayah kami https://t.co/UFFYibRLJh,1.37E+18,https://pbs.twimg.com/media/EveZcNxVIAUinK-.jpg,,in,,0,1,0,https://x.com/EkoFirman20/status/1366729758940172293,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 12:28:18 +0000 2021,0,Sintennnn PAK Aqil Siradj ??? KAMI MASYARAKAT JATIM KABUPATEN MALANG KECAMATAN TUMPANG SANGAT MEBUTUH KAN BANTUAN @Lakpesdam_PBNU @saidaqil 212 mas gowang tokoh tokoh agama untuk menekan BNN untuk beroperasi narkoba di desa kami. https://t.co/aIh01SqZGX,1.37E+18,https://pbs.twimg.com/media/EveW_QHVEAAWLQP.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1366727061516079105,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 12:11:58 +0000 2021,0,212 merapat ke Malang Jatim kecamatan tumpang untuk membantu Brantas narkoba bandar kurir. Bersama 212 @saidaqil @Lakpesdam_PBNU masyarakat kecamatan tumpang . BERSATU UNTUK MEMBANTU BNN MEBRANTAS NARKOBA DI KECAMATAN TUMPANG . https://t.co/MzoSbIW5yP,1.37E+18,https://pbs.twimg.com/media/EveTQBeVoAUH00W.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1366722949714075653,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 11:26:29 +0000 2021,0,@saidaqil @KhofifahIP NU Muhammadiyah tokoh tokoh agama ini berseri keras untuk memohon Ketegasan BNN untuk beroperasi narkoba di kecamatan tumpang JATIM. Bila Pelaku Melawan petugas kepolisian. Polisi BNN tembak di tempat bandar narkoba kurir tersebut. https://t.co/KQYQuFvWKc,1.37E+18,https://pbs.twimg.com/media/EveI2VBVoAIQtJJ.jpg,saidaqil,in,,0,0,0,https://x.com/EkoFirman20/status/1366711502657310723,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 11:23:06 +0000 2021,0,@saidaqil @KhofifahIP bersama Muhammadiyah NU Malang Jatim kecamatan tumpang bersepakat untuk memohon Ketegasan BNN untuk beroperasi narkoba Sabu Sabu di wilayah kami kecamatan tumpang. KEJAHATAN narkoba internasional ini harus Brantas . Perusak generasi penerus bangsa Indonesia https://t.co/l2RVSKwXMD,1.37E+18,https://pbs.twimg.com/media/EveIEx2VcAI79ky.jpg,saidaqil,in,,0,0,0,https://x.com/EkoFirman20/status/1366710653826654209,1.34E+18,EkoFirman20
1.37E+18,Tue Mar 02 10:55:32 +0000 2021,0,Masyarakat kecamatan tumpang ketegasan BNN untuk beroperasi narkoba di desa kam Darurat narkoba. Narkoba adalah kejahatan internasional pembunuh generasi penerus bangsa Indonesia. bila ada bandar narkoba melawan . Pihak berwajib melumpuhkan bandar narkoba kurir tersebut. 🇮🇩 https://t.co/yZkIdWuF4y,1.37E+18,https://pbs.twimg.com/media/EveBw2qVoAYATbE.jpg,,in,,0,0,0,https://x.com/EkoFirman20/status/1366703717047627776,1.34E+18,EkoFirman20
